target,income,customer_age,payment_type,employment_status,housing_status,bank_months_count
0,0.3,40,AA,CB,BC,9
0,0.8,20,AD,CA,BC,2
0,0.8,40,AB,CA,BC,30
0,0.6000000000000001,30,AB,CA,BC,1
0,0.9,40,AA,CA,BC,26
0,0.6000000000000001,30,AD,CB,BE,30
0,0.2,40,AB,CA,BC,1
0,0.8,40,AB,CA,BE,25
0,0.3,30,AB,CA,BC,2
0,0.8,20,AD,CA,BD,15
0,0.9,50,AB,CA,BA,1
0,0.8,40,AA,CA,BA,15
0,0.1,20,AB,CA,BE,30
0,0.9,30,AD,CA,BA,30
0,0.9,30,AD,CB,BA,1
0,0.9,50,AC,CA,BC,10
0,0.8,30,AD,CA,BC,30
0,0.6000000000000001,40,AC,CA,BC,-1
0,0.2,20,AB,CA,BB,15
0,0.5,30,AA,CA,BE,25
0,0.7000000000000001,30,AA,CB,BC,28
0,0.1,20,AB,CA,BB,1
0,0.1,20,AC,CA,BC,-1
0,0.7000000000000001,20,AB,CB,BB,2
0,0.5,30,AB,CB,BC,1
0,0.9,50,AB,CB,BB,30
0,0.4,40,AB,CA,BC,30
0,0.6000000000000001,30,AB,CA,BA,30
0,0.2,40,AB,CB,BC,10
0,0.9,40,AD,CB,BE,15
0,0.8,40,AA,CB,BE,30
0,0.8,40,AA,CA,BC,27
0,0.1,20,AA,CA,BE,10
0,0.5,40,AB,CA,BB,1
0,0.8,30,AB,CA,BC,28
0,0.5,40,AB,CB,BB,10
0,0.8,40,AC,CA,BC,-1
0,0.6000000000000001,40,AB,CB,BA,28
0,0.7000000000000001,20,AA,CA,BC,28
0,0.6000000000000001,20,AB,CA,BE,20
0,0.9,20,AD,CA,BC,1
0,0.4,20,AD,CA,BC,1
0,0.9,30,AB,CA,BB,5
1,0.9,60,AA,CA,BA,30
0,0.6000000000000001,50,AB,CC,BB,1
0,0.9,50,AB,CA,BA,1
0,0.8,20,AC,CB,BC,-1
0,0.9,30,AA,CA,BA,28
0,0.5,50,AA,CB,BB,28
0,0.7000000000000001,20,AA,CA,BC,20
0,0.4,20,AB,CA,BB,1
0,0.7000000000000001,30,AA,CA,BC,11
0,0.9,40,AA,CF,BE,20
0,0.8,30,AB,CA,BC,1
0,0.8,30,AB,CA,BB,1
0,0.9,20,AD,CA,BB,1
0,0.6000000000000001,20,AA,CB,BC,3
0,0.5,30,AA,CA,BA,25
0,0.1,20,AA,CA,BE,25
0,0.8,50,AB,CA,BA,10
0,0.8,60,AA,CA,BA,30
0,0.2,40,AC,CB,BB,-1
0,0.2,30,AA,CF,BD,5
0,0.9,30,AD,CB,BC,5
0,0.1,50,AB,CA,BA,30
0,0.1,20,AD,CA,BE,20
0,0.7000000000000001,40,AC,CA,BC,-1
0,0.1,30,AA,CF,BB,25
0,0.2,20,AC,CF,BC,-1
0,0.8,20,AA,CD,BC,20
0,0.9,30,AD,CA,BA,25
0,0.5,20,AC,CC,BE,-1
0,0.8,20,AD,CB,BE,30
0,0.9,20,AA,CB,BB,15
0,0.6000000000000001,50,AB,CD,BC,15
0,0.7000000000000001,30,AB,CA,BC,30
0,0.4,20,AB,CA,BC,20
0,0.9,40,AB,CA,BB,1
0,0.7000000000000001,50,AA,CA,BC,15
0,0.9,30,AC,CA,BC,-1
0,0.1,40,AC,CF,BB,-1
0,0.9,30,AD,CA,BC,31
0,0.9,20,AA,CA,BC,28
0,0.6000000000000001,50,AB,CA,BB,24
0,0.9,40,AA,CA,BC,1
0,0.5,90,AA,CB,BA,10
0,0.1,20,AA,CA,BE,28
0,0.1,20,AA,CA,BC,26
0,0.8,40,AD,CA,BD,5
0,0.7000000000000001,30,AA,CB,BC,2
0,0.8,30,AC,CF,BB,-1
0,0.9,30,AD,CB,BC,5
0,0.3,20,AA,CA,BE,31
0,0.9,20,AD,CA,BC,1
0,0.1,60,AA,CB,BB,25
0,0.3,30,AC,CA,BE,-1
0,0.6000000000000001,50,AC,CB,BC,15
0,0.2,30,AA,CF,BD,1
0,0.4,20,AD,CA,BE,1
0,0.1,50,AA,CA,BC,30
0,0.1,50,AD,CA,BC,1
0,0.9,40,AA,CA,BB,1
0,0.8,30,AB,CB,BC,6
0,0.5,30,AD,CB,BC,20
0,0.5,20,AB,CA,BC,1
0,0.8,60,AB,CC,BB,28
0,0.1,30,AA,CB,BD,1
0,0.7000000000000001,40,AB,CF,BB,25
0,0.4,20,AB,CA,BC,1
0,0.7000000000000001,40,AB,CA,BB,20
0,0.6000000000000001,20,AD,CA,BE,31
0,0.1,20,AB,CA,BC,27
0,0.1,30,AB,CF,BC,5
0,0.2,20,AB,CA,BC,31
0,0.9,40,AA,CA,BA,1
0,0.2,40,AB,CD,BB,30
0,0.6000000000000001,20,AD,CA,BC,2
0,0.9,30,AD,CB,BE,20
0,0.9,40,AB,CB,BC,1
0,0.6000000000000001,80,AB,CC,BB,1
0,0.1,30,AB,CB,BC,28
0,0.6000000000000001,40,AA,CA,BC,28
0,0.1,30,AA,CB,BE,25
0,0.9,30,AA,CA,BC,1
0,0.9,60,AB,CC,BB,1
0,0.6000000000000001,40,AB,CB,BC,28
0,0.8,20,AB,CA,BC,6
0,0.1,30,AB,CA,BC,1
0,0.7000000000000001,40,AD,CB,BB,30
0,0.4,40,AA,CA,BC,1
0,0.8,20,AC,CA,BE,-1
0,0.3,30,AC,CA,BD,5
0,0.5,40,AA,CD,BE,30
0,0.9,40,AA,CA,BA,21
0,0.7000000000000001,40,AA,CE,BC,20
